week,tv,search,social,display,email,revenue
2024-W01,8239,5842,3943,3282,1138,76276
2024-W02,8489,4948,2893,1773,1041,83020
2024-W03,7446,4523,4089,2985,669,82046
2024-W04,8689,4689,3643,3301,883,85402
2024-W05,7538,5112,3958,2939,1238,88833
2024-W06,8759,5317,2631,2886,653,89547
2024-W07,5716,5213,3133,1952,937,88089
2024-W08,7657,3664,2540,1326,714,88240
2024-W09,6460,4077,3144,3007,386,87015
2024-W10,7965,5282,2878,2555,652,93824
2024-W11,9688,3463,2307,1688,1009,87150
2024-W12,7243,4799,3691,2290,749,88004
2024-W13,9246,5245,2898,2155,770,90577
2024-W14,6331,4337,3498,2007,840,90589
2024-W15,8633,3899,4417,2647,690,92749
2024-W16,7965,4678,3642,2372,813,88176
2024-W17,7410,4540,1954,3083,571,87646
2024-W18,8908,4937,1702,3107,530,87495
2024-W19,9197,3681,4068,2560,669,90657
2024-W20,8412,5392,2350,3545,705,91826
2024-W21,5833,3913,3708,2455,637,89012
2024-W22,8983,6081,3654,2925,836,91656
2024-W23,6940,5293,3114,2911,848,88538
2024-W24,6245,5036,3301,1953,631,89546
2024-W25,8211,4394,3341,1200,1133,84023
2024-W26,6814,5486,2931,1269,730,84115
2024-W27,7889,5550,2467,2527,795,86306
2024-W28,9645,4713,2970,3095,778,87973
2024-W29,6423,4891,2963,1779,577,84483
2024-W30,11632,6045,3128,2326,882,84129
2024-W31,7628,6038,2691,2368,829,85100
2024-W32,7500,4807,3406,3185,764,82253
2024-W33,6918,5212,3572,2752,719,82989
2024-W34,6457,5761,3106,3075,846,82633
2024-W35,6608,5910,3338,2736,1082,81300
2024-W36,7778,5118,3193,3725,1109,81630
2024-W37,7075,4207,2523,2713,783,80103
2024-W38,8723,5465,3587,4119,986,80168
2024-W39,10484,4210,2486,2536,663,79577
2024-W40,8145,5388,2444,2883,909,83685
2024-W41,6155,5621,3074,2246,769,80964
2024-W42,8034,7138,3609,2392,659,81126
2024-W43,8041,4958,3383,2308,863,79134
2024-W44,5535,5445,3097,3354,763,80796
2024-W45,9588,4930,3832,2567,940,81320
2024-W46,8218,5093,3115,2217,679,83229
2024-W47,6244,4477,2985,2446,637,80791
2024-W48,7505,4423,3053,2921,809,81479
2024-W49,4818,4193,3714,3146,925,84408
2024-W50,9300,5493,2110,2683,702,84315
2024-W51,4322,5514,2955,2361,617,83974
2024-W52,10054,6338,2238,2785,817,87725
2024-W53,7676,5598,2552,2946,871,88670
2024-W54,9378,5011,3592,1986,720,89521
2024-W55,6142,4587,3614,2702,655,85705
2024-W56,8230,5438,3615,2206,560,90565
2024-W57,8198,5229,2989,2472,617,91031
2024-W58,8007,4899,2892,3340,850,89091
2024-W59,8627,5996,2857,2929,692,91976
2024-W60,7483,3730,3055,3296,961,89670
2024-W61,5420,4844,3090,2028,763,92269
2024-W62,9855,4449,3040,2903,911,94373
2024-W63,8235,5060,2506,2418,668,97414
2024-W64,5197,6425,3010,3716,881,93731
2024-W65,5504,5121,3868,3543,679,92947
2024-W66,8396,5235,3357,2817,754,94234
2024-W67,8369,3679,2829,2977,889,94950
2024-W68,8228,5394,2956,2330,386,95056
2024-W69,7933,6823,2901,2513,695,95328
2024-W70,10494,7151,4710,2196,1055,98655
2024-W71,9007,5879,3022,2814,684,97392
2024-W72,9779,5162,3650,2112,522,93291
2024-W73,4969,5305,2385,2517,859,90653
2024-W74,10005,5423,3079,2979,731,90145
2024-W75,9550,5241,3139,1480,848,90351
2024-W76,7836,4694,2859,2335,650,90812
2024-W77,7636,4078,2804,1128,784,87934
2024-W78,8218,5080,2369,3209,717,87990
2024-W79,6494,4178,2551,1904,693,88418
2024-W80,8939,4888,2264,2709,908,88767
2024-W81,8044,4895,3874,2693,638,87503
2024-W82,9027,5063,3471,2607,1014,87581
2024-W83,7919,5772,3761,2309,804,86537
2024-W84,10181,5158,1577,3021,1012,84260
2024-W85,6238,4774,3522,2173,866,83325
2024-W86,8307,4403,3285,2603,859,87378
2024-W87,5773,5200,2112,2630,767,80992
2024-W88,11699,5599,2004,2140,413,84534
2024-W89,8047,5465,4202,3306,827,85622
2024-W90,7894,4172,4442,2183,623,85220
2024-W91,6323,5107,3855,2632,786,81972
2024-W92,4927,4966,2985,1716,871,81424
2024-W93,7221,4956,2567,714,1001,85886
2024-W94,7183,6597,1591,2602,1143,83594
2024-W95,8201,4400,3329,2480,702,83185
2024-W96,6828,4643,2561,2900,908,82378
2024-W97,6440,6255,3607,3128,755,83585
2024-W98,7137,5100,3871,1801,656,87404
2024-W99,7911,4709,2211,1385,1065,84890
2024-W100,4797,5272,2771,2499,551,83309
2024-W101,8046,3996,2903,321,609,81739
2024-W102,10877,4756,1677,3337,887,84171
2024-W103,7307,5025,4097,2563,752,87345
2024-W104,7124,4478,3012,2756,729,87362
